review_text,rating,date,bank,source
love the card and the app facilities.,5,2026-03-28 19:41:28,Revolut,google_play
not user friendly when navigating around the app.,4,2026-03-28 18:56:36,Revolut,google_play
DEFINITELY THE BANK TO AVOID!!!,1,2026-03-28 18:17:18,Revolut,google_play
Best revolutionary banking system is definitely revolut... The magical asset for humanity. Hats off to the mind behind it,5,2026-03-28 17:42:16,Revolut,google_play
Wonderful and seamless banking experience . Cant ask morw,5,2026-03-28 17:24:05,Revolut,google_play
"Convient parfaitement à mes attentes pour une carte gratuite merci Revolut. Une question cependant: dans la section budget, est-t-il possible de voir ces dépenses en fonction des cartes virtuelles utiliser ? Si par exemple j'ai une carte virtuelle pour le travail, puis une autre pour le perso.m, ça m'aiderait à différencier mes dépenses. Sinon le reste comme j'ai dit au top.",4,2026-03-28 17:23:40,Revolut,google_play
Simply the best,5,2026-03-28 17:02:19,Revolut,google_play
"I’ve been a Revolut user for years, but now they’re demanding UK residency proof. I submitted my share code and photo multiple times, yet they claim they can’t verify it and ask for more. If you lack the technical capacity to verify official government data, that is not my fault. I will not keep sending documents; that’s exactly what the share code is for. Out of four banks I use, only Revolut shows this level of incompetence and hassle. It is impossible to trust or take this seriously.",1,2026-03-28 16:24:04,Revolut,google_play
Revolut has completely transformed how I manage my money. The instant transfers and seamless currency exchange make it a total game-changer for daily use and travel!,5,2026-03-28 16:01:27,Revolut,google_play
big transaction will closed your account. with no reason,1,2026-03-28 15:57:34,Revolut,google_play
"They have an unfair commission for cafes and restaurants, which is around 30% of the cost. Previously, they used to return 10% in bonus points for purchases made without delivery. This meant that third-party partners and delivery services were not involved, so the app kept 20% just for providing the platform and service. At some point, that wasn't enough for them, and they decided to reduce the return to only 5%.",4,2026-03-28 15:52:50,Revolut,google_play
good,5,2026-03-28 15:28:02,Revolut,google_play
"good bank, freezers your card as soon as something that's not familiar with your account so good so you don't overdraw your account. but the fees to get money out are excessive. otherwise I would've put 5 ⭐",3,2026-03-28 15:16:28,Revolut,google_play
the worst part is that they are not trying to help you with refunds or when you have problem with purchases that the merchant don't communicate with you or there is no info. happened at least 3 times so far with no small amounts (30-70 euros) and revolut just didn't want to try resolve the issue,2,2026-03-28 14:48:03,Revolut,google_play
very good,5,2026-03-28 14:18:16,Revolut,google_play
Great for everyday use and hoildays all your money in one app all currency.,5,2026-03-28 14:17:25,Revolut,google_play
very good,5,2026-03-28 14:11:42,Revolut,google_play
"sham of a company, locked my account and then said they were closing it. Stick with Monzo they know what they are doing.",1,2026-03-28 14:04:39,Revolut,google_play
Very bad web / computer support,3,2026-03-28 14:03:43,Revolut,google_play
great,5,2026-03-28 13:29:17,Revolut,google_play
Best bank app I have used ever,5,2026-03-28 13:28:14,Revolut,google_play
Great app,5,2026-03-28 13:27:06,Revolut,google_play
perfect for travel,5,2026-03-28 13:07:12,Revolut,google_play
perfect,5,2026-03-28 13:05:17,Revolut,google_play
the best !,5,2026-03-28 12:38:05,Revolut,google_play
allgood,5,2026-03-28 12:35:20,Revolut,google_play
Perfect!,5,2026-03-28 12:34:33,Revolut,google_play
excellent,5,2026-03-28 12:34:03,Revolut,google_play
"easy, fast, reliable",5,2026-03-28 12:22:49,Revolut,google_play
They are financial theifs. Since I have joined they are deducting money and not letting me to close account and fund transfer. plesse avoid using them.,1,2026-03-28 11:57:29,Revolut,google_play
Great,5,2026-03-28 11:10:59,Revolut,google_play
💜💜💜,5,2026-03-28 10:58:34,Revolut,google_play
Great 👍,5,2026-03-28 10:52:32,Revolut,google_play
is a big scam they said if you invite your friend you will get from £10 to £200 each what is a scam they will give you £10 after your friends spent three transaction minimum£ 5 each but they're not giving to your friend any penny and then they charging for the card £4.99 and they said just for the delivery the classify self as a bank all banks they send the card for free is the biggest scam the bank be careful,1,2026-03-28 10:37:45,Revolut,google_play
mijn beste bank betrouwbaar,5,2026-03-28 10:30:05,Revolut,google_play
Easy to use and track transactions,5,2026-03-28 10:19:41,Revolut,google_play
"easy way to have N extra account,also allows me to use with international currency with is super useful and interest free for travelling. Overall super easy to use and setup. Highly recommend",5,2026-03-28 10:17:30,Revolut,google_play
excelente app e conta para uso internacional,5,2026-03-28 09:55:34,Revolut,google_play
excellent,5,2026-03-28 09:25:00,Revolut,google_play
"I bought some BTC on the platform. I reviewed the transaction: 1.49% fees. Of course I am never, ever going to use this thing to invest anymore. One-point-fortynine percent.",1,2026-03-28 09:24:25,Revolut,google_play
very useful card,5,2026-03-28 09:22:56,Revolut,google_play
Great experience,5,2026-03-28 09:17:52,Revolut,google_play
easy and reiable,5,2026-03-28 09:00:28,Revolut,google_play
Excellent App for online purchases very safe,5,2026-03-28 08:59:04,Revolut,google_play
"I'm really happy with the app, sadly no joint accounts in Switzerland and it would be nice if it supports credit cards as well so I wouldn't need one for that one time a year I travel to a hotel or rent a car.",4,2026-03-28 08:51:08,Revolut,google_play
must have -,5,2026-03-28 08:38:24,Revolut,google_play
много добре,5,2026-03-28 08:30:07,Revolut,google_play
it make transfer very easy. love it,5,2026-03-28 08:24:50,Revolut,google_play
So handy,5,2026-03-28 08:21:15,Revolut,google_play
